Date,Fentanyl,LSD,Codeine,Morphine,MDMA,Methamphetamine,Xylazine,Oxymorphone,Gabapentin,Kratom,Ketamine,Tramadol,Oxycodone,Hydrocodone,Diphenhydramine
2020-04-09 23:24:34.457313,31,137,282,236,75,17,79,54,46,196,55,175,276,193,169
2020-04-10 23:24:34.457313,30,107,290,238,103,51,135,0,97,224,91,134,252,256,149
2020-04-11 23:24:34.457313,44,96,274,256,81,29,108,75,59,229,102,102,292,193,144
2020-04-12 23:24:34.457313,0,155,310,267,114,70,127,60,54,164,76,162,250,196,194
2020-04-13 23:24:34.457313,50,118,312,278,92,51,89,30,86,227,102,186,257,214,172
2020-04-14 23:24:34.457313,19,157,324,286,150,11,105,60,55,237,92,157,227,209,189
2020-04-15 23:24:34.457313,52,117,303,271,104,29,76,1,59,207,117,132,249,245,174
2020-04-16 23:24:34.457313,82,95,289,296,107,18,114,33,73,192,99,148,260,190,186
2020-04-17 23:24:34.457313,64,93,278,237,111,35,84,28,117,227,82,177,282,187,170
2020-04-18 23:24:34.457313,44,110,323,259,129,55,95,55,53,209,89,163,271,201,152
2020-04-19 23:24:34.457313,37,94,314,220,110,40,106,40,49,221,62,131,267,219,213
2020-04-20 23:24:34.457313,42,146,306,286,103,62,97,61,79,188,109,108,253,185,165
2020-04-21 23:24:34.457313,35,133,283,261,67,13,87,44,62,238,71,136,280,203,167
2020-04-22 23:24:34.457313,50,98,300,268,114,60,154,49,30,175,87,122,256,201,199
2020-04-23 23:24:34.457313,34,170,298,292,97,51,129,35,117,193,99,147,256,210,202
2020-04-24 23:24:34.457313,68,122,313,252,103,17,102,49,82,209,83,133,237,241,180
2020-04-25 23:24:34.457313,34,147,308,268,114,63,105,19,61,192,99,107,265,212,193
2020-04-26 23:24:34.457313,45,135,309,233,103,75,100,46,49,216,80,148,278,246,177
2020-04-27 23:24:34.457313,71,107,321,245,94,37,100,53,48,231,74,148,281,201,156
2020-04-28 23:24:34.457313,75,108,276,280,128,44,90,76,79,223,73,150,279,205,202
2020-04-29 23:24:34.457313,33,133,271,260,115,5,109,61,92,221,111,142,243,169,180
2020-04-30 23:24:34.457313,0,148,269,278,122,43,94,54,70,247,95,170,266,212,153
2020-05-01 23:24:34.457313,58,142,298,246,101,77,112,89,73,218,59,158,282,186,181
2020-05-02 23:24:34.457313,54,141,301,291,74,49,140,34,77,203,113,141,289,223,152
2020-05-03 23:24:34.457313,67,116,306,261,116,52,101,41,77,167,41,162,283,226,181
2020-05-04 23:24:34.457313,63,116,327,274,101,52,113,47,97,183,88,174,258,200,190
2020-05-05 23:24:34.457313,64,126,300,262,113,70,104,48,52,259,114,126,264,210,249
2020-05-06 23:24:34.457313,54,139,307,248,101,67,120,15,95,214,101,128,296,242,167
2020-05-07 23:24:34.457313,67,138,294,246,139,56,119,81,44,194,121,162,261,197,188
2020-05-08 23:24:34.457313,33,167,295,254,143,80,117,71,61,230,74,135,293,241,193
2020-05-09 23:24:34.457313,40,160,272,232,75,73,120,77,59,234,94,113,286,196,200
2020-05-10 23:24:34.457313,67,142,332,260,116,77,165,77,49,215,80,149,288,229,205
2020-05-11 23:24:34.457313,41,132,335,284,110,74,119,33,49,217,100,130,321,226,187
2020-05-12 23:24:34.457313,54,110,315,288,114,62,135,60,70,226,74,155,245,212,187
2020-05-13 23:24:34.457313,47,168,350,266,139,88,113,39,73,221,96,152,252,242,213
2020-05-14 23:24:34.457313,44,152,342,242,103,54,137,74,93,210,78,159,267,238,201
2020-05-15 23:24:34.457313,65,156,313,259,140,86,109,97,48,179,82,139,293,160,215
2020-05-16 23:24:34.457313,92,150,302,295,136,49,101,86,74,218,86,153,266,250,188
2020-05-17 23:24:34.457313,81,160,310,297,141,51,124,67,81,227,92,149,266,196,179
2020-05-18 23:24:34.457313,38,135,313,268,166,80,150,62,63,237,125,149,293,233,213
2020-05-19 23:24:34.457313,67,129,336,296,138,113,113,58,59,217,73,185,284,201,175
2020-05-20 23:24:34.457313,81,120,320,224,146,67,92,79,89,241,88,147,242,209,161
2020-05-21 23:24:34.457313,110,109,295,258,127,57,110,86,94,205,90,166,268,215,210
2020-05-22 23:24:34.457313,47,137,318,265,88,76,153,67,83,201,70,197,293,203,231
2020-05-23 23:24:34.457313,60,183,314,267,124,75,132,64,72,223,82,157,288,242,207
2020-05-24 23:24:34.457313,70,128,310,314,151,56,115,75,91,225,89,127,229,229,231
2020-05-25 23:24:34.457313,44,158,352,238,137,65,141,83,84,215,103,161,283,236,188
2020-05-26 23:24:34.457313,15,139,283,294,117,76,115,64,67,179,97,135,249,219,195
2020-05-27 23:24:34.457313,62,102,329,266,146,73,178,68,62,201,136,137,270,246,202
2020-05-28 23:24:34.457313,64,153,307,254,140,77,104,101,56,226,119,157,312,240,220
2020-05-29 23:24:34.457313,97,115,304,302,154,69,85,79,31,212,88,146,275,190,197
2020-05-30 23:24:34.457313,55,142,331,255,117,57,122,59,79,224,77,190,300,231,214
2020-05-31 23:24:34.457313,63,161,348,293,141,46,155,82,111,212,95,153,289,219,204
2020-06-01 23:24:34.457313,55,139,328,248,147,68,83,48,70,227,37,126,276,232,197
2020-06-02 23:24:34.457313,40,124,292,283,117,59,141,69,91,183,63,187,306,219,186
2020-06-03 23:24:34.457313,75,146,317,268,150,53,106,62,88,209,113,158,270,221,188
2020-06-04 23:24:34.457313,58,144,288,244,113,33,133,81,62,176,73,166,292,244,207
2020-06-05 23:24:34.457313,29,147,325,265,149,97,132,65,66,186,106,162,269,216,184
2020-06-06 23:24:34.457313,39,186,319,281,117,65,137,77,55,240,68,170,292,260,197
2020-06-07 23:24:34.457313,21,142,339,307,104,43,145,58,59,209,114,146,278,233,214
2020-06-08 23:24:34.457313,41,167,339,289,124,82,109,75,63,228,65,153,259,239,167
2020-06-09 23:24:34.457313,37,148,310,237,116,95,109,82,57,242,95,149,308,217,199
2020-06-10 23:24:34.457313,57,122,305,281,136,40,125,68,83,225,69,168,283,248,196
2020-06-11 23:24:34.457313,73,139,326,268,154,42,139,67,72,225,121,170,269,193,187
2020-06-12 23:24:34.457313,35,157,356,271,155,58,128,77,67,234,98,129,264,191,215
2020-06-13 23:24:34.457313,10,148,325,281,133,56,169,38,94,189,109,177,266,203,181
2020-06-14 23:24:34.457313,33,146,318,247,112,56,148,55,104,237,116,161,269,187,187
2020-06-15 23:24:34.457313,81,143,289,280,123,64,116,86,58,210,82,179,291,220,213
2020-06-16 23:24:34.457313,21,159,334,245,101,57,146,73,105,229,70,157,259,239,209
2020-06-17 23:24:34.457313,38,128,284,266,119,43,140,35,60,213,75,158,252,193,213
2020-06-18 23:24:34.457313,20,162,317,242,157,56,136,54,92,213,68,152,269,221,191
2020-06-19 23:24:34.457313,15,152,298,296,156,54,137,85,88,222,100,193,290,227,198
2020-06-20 23:24:34.457313,55,158,313,275,133,50,120,70,125,197,95,160,273,242,208
2020-06-21 23:24:34.457313,59,157,347,262,134,51,93,50,71,214,84,165,263,214,185
2020-06-22 23:24:34.457313,72,153,353,274,125,37,130,74,83,220,99,186,238,234,189
2020-06-23 23:24:34.457313,41,162,362,274,126,44,80,63,85,203,75,168,243,212,208
2020-06-24 23:24:34.457313,45,159,327,259,156,84,102,71,73,196,87,162,276,264,211
2020-06-25 23:24:34.457313,41,131,311,265,137,62,125,68,104,183,111,139,282,235,207
2020-06-26 23:24:34.457313,51,122,301,263,122,96,116,46,75,246,74,162,235,215,210
2020-06-27 23:24:34.457313,10,135,321,290,149,52,129,74,72,222,97,164,254,229,198
2020-06-28 23:24:34.457313,66,111,321,267,109,21,111,37,70,219,77,162,258,219,163
2020-06-29 23:24:34.457313,99,115,273,248,148,58,118,70,78,206,88,182,264,251,184
2020-06-30 23:24:34.457313,4,139,320,287,126,53,141,66,31,196,89,127,266,164,187
2020-07-01 23:24:34.457313,58,148,300,265,140,60,145,48,86,190,89,148,264,227,167
2020-07-02 23:24:34.457313,62,132,310,270,150,38,147,59,61,205,68,168,255,204,204
2020-07-03 23:24:34.457313,51,138,299,266,104,67,88,55,86,218,79,157,258,232,191
2020-07-04 23:24:34.457313,39,144,303,303,129,31,114,101,68,204,80,135,265,210,217
2020-07-05 23:24:34.457313,26,142,312,245,150,45,115,32,65,202,99,159,261,217,152
2020-07-06 23:24:34.457313,47,118,309,270,104,35,114,92,80,212,74,142,244,223,190
2020-07-07 23:24:34.457313,19,130,312,235,110,62,159,47,74,196,74,165,246,243,211
2020-07-08 23:24:34.457313,43,133,347,252,109,73,123,74,65,188,32,127,260,186,186
2020-07-09 23:24:34.457313,24,140,352,300,96,60,114,60,70,183,103,173,257,196,217
2020-07-10 23:24:34.457313,74,129,311,265,110,36,112,70,84,234,80,177,263,184,197
2020-07-11 23:24:34.457313,77,111,327,257,144,65,129,42,99,222,83,136,270,204,174
2020-07-12 23:24:34.457313,56,116,285,272,127,88,175,58,60,177,101,160,272,243,198
2020-07-13 23:24:34.457313,31,172,346,252,103,51,137,64,57,178,67,128,303,206,171
2020-07-14 23:24:34.457313,36,135,306,269,124,30,127,59,93,160,101,171,267,220,213
2020-07-15 23:24:34.457313,40,144,306,268,132,68,146,23,37,227,84,159,246,176,202
2020-07-16 23:24:34.457313,29,143,302,286,158,38,136,49,81,211,76,180,284,205,191
2020-07-17 23:24:34.457313,84,149,242,273,117,32,119,63,46,237,106,114,281,176,183
2020-07-18 23:24:34.457313,51,158,279,268,147,29,123,44,77,223,86,166,280,263,158
2020-07-19 23:24:34.457313,19,140,325,291,145,65,116,42,81,205,114,158,261,206,160
2020-07-20 23:24:34.457313,19,148,283,282,138,78,148,56,48,203,95,156,236,227,210
2020-07-21 23:24:34.457313,28,119,298,289,138,39,121,25,31,228,111,195,254,254,183
2020-07-22 23:24:34.457313,27,145,316,235,127,5,105,79,103,168,98,143,292,218,161
2020-07-23 23:24:34.457313,25,103,316,241,94,38,144,77,61,221,96,132,291,201,173
2020-07-24 23:24:34.457313,27,142,306,285,114,54,80,69,67,198,99,132,281,231,170
2020-07-25 23:24:34.457313,27,107,320,269,114,44,88,74,87,206,86,141,266,189,209
2020-07-26 23:24:34.457313,56,141,328,268,116,16,89,32,67,195,61,118,252,202,151
2020-07-27 23:24:34.457313,2,144,291,256,111,22,131,60,50,202,95,97,288,178,188
2020-07-28 23:24:34.457313,41,115,354,199,99,29,129,43,76,228,64,170,218,228,168
2020-07-29 23:24:34.457313,41,165,295,272,109,38,115,27,59,177,70,128,256,199,172
2020-07-30 23:24:34.457313,11,177,282,272,112,54,137,19,69,183,70,166,256,211,195
2020-07-31 23:24:34.457313,56,143,268,234,136,54,108,33,77,225,77,152,253,213,152
2020-08-01 23:24:34.457313,27,131,281,264,56,27,116,25,36,205,78,137,270,196,163
2020-08-02 23:24:34.457313,41,139,282,223,116,19,116,21,51,182,71,131,244,227,189
2020-08-03 23:24:34.457313,50,173,262,278,132,56,132,60,43,186,44,160,245,183,167
2020-08-04 23:24:34.457313,44,119,272,280,126,33,63,52,89,169,75,142,280,194,168
2020-08-05 23:24:34.457313,41,141,319,286,123,73,99,59,51,177,113,128,257,224,194
2020-08-06 23:24:34.457313,6,123,303,246,118,13,128,0,78,208,71,114,211,177,157
2020-08-07 23:24:34.457313,7,95,317,262,117,58,107,41,43,182,82,156,266,210,201
2020-08-08 23:24:34.457313,54,77,287,265,105,65,89,10,53,187,81,136,250,186,172
2020-08-09 23:24:34.457313,0,89,261,275,120,39,119,71,54,207,110,109,212,243,154
2020-08-10 23:24:34.457313,31,94,321,207,120,51,112,9,62,155,55,176,246,203,169
2020-08-11 23:24:34.457313,42,117,285,256,133,17,87,41,60,200,64,173,275,190,174
2020-08-12 23:24:34.457313,21,105,305,243,82,19,74,1,55,191,85,136,244,237,207
2020-08-13 23:24:34.457313,25,93,265,234,107,2,140,46,27,195,86,189,246,185,188
2020-08-14 23:24:34.457313,24,107,293,234,126,0,64,85,54,210,47,116,243,222,184
2020-08-15 23:24:34.457313,29,163,295,222,109,4,100,18,57,209,57,135,241,209,171
2020-08-16 23:24:34.457313,15,120,295,250,121,35,69,77,14,190,90,115,253,232,160
2020-08-17 23:24:34.457313,28,128,270,275,103,23,110,23,67,239,63,133,267,172,180
2020-08-18 23:24:34.457313,68,99,311,238,91,9,111,69,75,216,53,102,232,207,168
2020-08-19 23:24:34.457313,0,92,267,249,83,31,80,91,91,212,86,107,250,213,160
2020-08-20 23:24:34.457313,36,81,263,277,100,60,85,35,72,190,32,102,241,242,168
2020-08-21 23:24:34.457313,46,121,280,238,81,36,62,32,63,162,80,158,239,223,155
2020-08-22 23:24:34.457313,6,129,281,224,88,1,67,0,67,178,60,109,251,184,138
2020-08-23 23:24:34.457313,6,100,303,299,96,41,117,12,46,216,72,135,228,220,165
2020-08-24 23:24:34.457313,16,109,273,243,79,44,69,0,61,177,58,140,251,220,153
2020-08-25 23:24:34.457313,0,133,264,240,91,50,95,39,59,192,55,136,243,168,134
2020-08-26 23:24:34.457313,41,124,270,253,103,6,77,0,19,172,70,115,251,162,131
2020-08-27 23:24:34.457313,5,124,293,222,98,50,69,0,39,186,80,137,263,209,164
2020-08-28 23:24:34.457313,25,133,277,227,103,1,85,17,76,224,46,169,244,206,192
2020-08-29 23:24:34.457313,0,100,271,229,91,15,56,43,84,176,89,143,261,166,156
2020-08-30 23:24:34.457313,31,63,269,266,94,48,81,37,44,198,55,130,250,240,133
2020-08-31 23:24:34.457313,4,159,257,239,100,59,71,50,21,194,38,112,270,203,170
2020-09-01 23:24:34.457313,0,105,277,264,70,34,64,14,36,189,51,150,244,227,163
2020-09-02 23:24:34.457313,5,107,247,264,57,13,74,31,27,200,70,99,218,186,126
2020-09-03 23:24:34.457313,55,120,268,241,141,40,82,15,52,166,63,93,249,210,154
2020-09-04 23:24:34.457313,8,81,243,250,108,48,99,0,59,173,50,115,227,187,155
2020-09-05 23:24:34.457313,14,90,272,280,60,0,67,5,55,190,51,98,262,188,162
2020-09-06 23:24:34.457313,9,95,262,242,70,0,61,24,65,210,77,166,236,180,146
2020-09-07 23:24:34.457313,6,99,290,294,127,9,95,36,59,189,66,106,211,190,163
2020-09-08 23:24:34.457313,0,89,300,257,72,8,90,28,76,180,69,126,243,194,161
2020-09-09 23:24:34.457313,7,104,261,291,73,32,87,0,67,186,71,117,246,202,150
2020-09-10 23:24:34.457313,20,146,262,265,75,17,62,22,72,181,63,127,205,175,149
2020-09-11 23:24:34.457313,12,72,237,232,98,35,111,36,72,182,61,145,228,207,158
2020-09-12 23:24:34.457313,35,115,270,261,75,0,56,0,57,147,91,120,218,176,151
2020-09-13 23:24:34.457313,28,95,276,291,34,16,88,13,60,173,80,136,207,183,155
2020-09-14 23:24:34.457313,0,88,295,253,68,31,86,26,37,196,93,144,290,217,117
2020-09-15 23:24:34.457313,0,62,257,284,110,4,105,0,12,199,56,133,244,182,155
2020-09-16 23:24:34.457313,49,70,284,240,58,31,73,43,68,196,62,122,262,212,147
2020-09-17 23:24:34.457313,14,79,260,254,101,4,75,5,100,183,44,107,254,218,111
2020-09-18 23:24:34.457313,8,77,235,251,100,16,115,5,46,183,82,119,256,191,152
2020-09-19 23:24:34.457313,29,101,270,264,74,0,70,57,48,169,69,118,243,206,116
2020-09-20 23:24:34.457313,0,102,286,279,76,7,93,0,42,222,65,131,242,203,147
2020-09-21 23:24:34.457313,0,65,304,247,109,44,81,32,50,202,57,160,247,248,143
2020-09-22 23:24:34.457313,10,43,283,270,41,0,45,7,31,196,60,142,240,150,117
2020-09-23 23:24:34.457313,0,91,232,221,88,0,95,3,62,172,75,90,295,198,140
2020-09-24 23:24:34.457313,24,97,258,269,87,0,83,7,35,195,62,94,258,213,176
2020-09-25 23:24:34.457313,0,105,232,245,78,0,63,0,60,202,67,149,213,188,129
2020-09-26 23:24:34.457313,0,63,240,253,118,8,96,0,56,157,116,130,242,192,149
2020-09-27 23:24:34.457313,25,91,259,275,62,9,86,19,54,177,29,115,240,213,130
